rating,director,release_year,listed_in,title,country,duration,type,Cluster
9,3066,0.7058823529411765,411,7491,52,0,1,1
8,1645,1.0,390,8318,70,110,1,3
6,3066,0.7058823529411765,414,8240,52,0,1,1
8,2115,1.0,469,4145,13,179,0,2
9,4022,1.0,2,4699,80,173,0,2
6,3066,0.8823529411764707,409,3269,52,0,1,1
6,716,0.7058823529411765,216,1235,49,4,0,0
8,2116,0.9411764705882354,318,3937,44,34,0,0
4,3693,1.0,280,4619,5,210,0,2
6,4359,1.0,229,7332,79,19,0,0
5,2035,0.5294117647058825,325,7629,72,11,0,0
6,3066,0.8823529411764707,411,8504,52,0,1,1
10,3066,0.8823529411764707,120,6621,52,173,0,2
11,3066,0.823529411764706,432,3773,52,0,1,1
6,3066,0.823529411764706,411,7774,52,0,1,1
6,3066,0.823529411764706,241,7095,52,0,1,1
6,3066,0.823529411764706,411,6796,52,0,1,1
9,3066,0.8823529411764707,283,601,52,175,0,2
6,3066,0.823529411764706,411,137,52,0,1,1
6,3066,0.823529411764706,411,4876,52,0,1,1
6,3066,0.8823529411764707,233,7074,52,0,1,1
9,3066,0.823529411764706,411,7003,52,0,1,1
11,3066,0.8823529411764707,423,3969,52,110,1,3
8,3066,0.8823529411764707,290,4167,52,0,1,1
8,3066,0.8823529411764707,305,3966,52,0,1,1
8,3066,0.8823529411764707,234,6805,52,0,1,1
11,3066,0.823529411764706,421,1993,52,138,1,3
10,3066,0.823529411764706,421,5351,52,0,1,1
8,1303,1.0,288,8295,80,186,0,2
6,3066,0.7647058823529412,392,7577,52,0,1,1
4,1123,0.47058823529411775,198,5643,79,218,0,2
8,73,1.0,219,6363,67,204,0,2
4,3347,1.0,20,7566,80,16,0,0
6,3066,0.7647058823529412,393,4510,52,0,1,1
8,486,1.0,511,4995,29,0,1,1
8,2196,0.9411764705882354,199,5639,49,20,0,0
6,2128,1.0,346,7767,20,5,0,0
3,2292,1.0,147,8374,10,3,0,0
6,3605,0.5294117647058825,25,1451,29,44,0,0
8,685,0.5294117647058825,280,1564,6,184,0,2
8,135,0.0,189,2278,0,215,0,2
6,2364,1.0,273,3948,79,217,0,2
8,2585,0.0,175,6725,0,31,0,0
8,3066,0.8823529411764707,304,8131,52,0,1,1
8,3066,0.823529411764706,385,747,52,0,1,1
6,3066,0.7647058823529412,393,6153,52,0,1,1
6,3066,0.0,511,5468,52,0,1,1
8,3066,0.6470588235294118,273,1012,52,145,0,2
8,3066,0.823529411764706,393,6325,52,0,1,1
8,3066,0.823529411764706,96,3389,52,0,1,1
7,3066,0.7647058823529412,422,2968,52,0,1,1
10,3066,0.823529411764706,441,5135,52,126,0,2
11,3066,0.823529411764706,421,3872,52,0,1,1
9,1672,0.7058823529411765,325,11,49,23,0,0
8,3270,1.0,344,355,80,20,0,0
8,4069,0.47058823529411775,441,505,80,20,0,0
11,3066,0.7647058823529412,432,5311,52,0,1,1
8,542,1.0,233,1612,80,0,1,1
10,3066,0.7647058823529412,86,955,52,0,1,1
9,3066,0.47058823529411775,114,7199,52,0,1,1
10,3066,0.823529411764706,441,5134,52,126,0,2
5,1722,0.0,321,3005,80,7,0,0
8,739,0.3529411764705883,325,3310,80,9,0,0
6,1606,0.411764705882353,392,5140,74,0,1,1
4,2313,1.0,284,5566,80,5,0,0
11,3066,0.823529411764706,247,2158,52,110,1,3
8,3066,0.823529411764706,243,5257,52,0,1,1
9,3066,0.823529411764706,290,6016,52,0,1,1
6,3066,0.823529411764706,445,1799,52,0,1,1
9,3066,0.823529411764706,81,8362,52,0,1,1
8,3066,0.823529411764706,448,847,52,0,1,1
